Load,Load
0.00321,7667.0699
0.00824429292929293,17395.7182235185
0.013278585858585858,23291.46369494422
0.018312878787878788,26058.928748516926
0.023347171717171718,26992.54322332161
0.028381464646464648,26918.37095773584
0.03341575757575757,26332.3081386609
0.0384500505050505,25513.88640190693
0.04348434343434343,24604.30054117688
0.04851863636363636,23675.013065499174
0.05355292929292929,22755.942345773234
0.05858722222222222,21868.975412297983
0.06362151515151515,21030.96049752396
0.06865580808080808,20251.93566947502
0.07369010101010101,19537.29433520238
0.07872439393939394,18884.442703817815
0.08375868686868687,18286.832027070257
0.0887929797979798,17740.78722523932
0.09382727272727273,17243.711657556316
0.09886156565656566,16789.34820373161
0.10389585858585859,16370.109575405573
0.10893015151515152,15982.486689336885
0.11396444444444445,15624.943083764496
0.11899873737373738,15295.954990190103
0.1240330303030303,14993.998640115422
0.12906732323232323,14717.55026504216
0.13410161616161614,14465.086096472023
0.1391359090909091,14235.08236590671
0.144170202020202,14026.015304847946
0.14920449494949495,13836.361144797422
0.15423878787878786,13664.596117256862
0.1592730808080808,13509.196453727958
0.16430737373737372,13368.638385712427
0.16934166666666664,13241.398144711977
0.17437595959595958,13125.951962228313
0.1794102525252525,13020.776069763142
0.18444454545454544,12924.346698818177
0.18947883838383836,12835.140080895118
0.1945131313131313,12751.632447495684
0.19954742424242422,12672.30003012157
0.20458171717171716,12595.799612944766
0.20961601010101008,12521.734951937504
0.21465030303030302,12450.019200589477
0.21968459595959594,12380.56568640789
0.22471888888888888,12313.287736899954
0.2297531818181818,12248.098679572862
0.23478747474747474,12184.911841933827
0.23982176767676766,12123.640551490045
0.24485606060606058,12064.198135748726
0.24989035353535352,12006.497922217066
0.25492464646464646,11950.453238402279
0.2599589393939394,11895.977411811562
0.2649932323232323,11842.983769952125
0.2700275252525252,11791.385640331164
0.2750618181818182,11741.096350455886
0.2800961111111111,11692.029227833496
0.285130404040404,11644.0975999712
0.29016469696969693,11597.214794376196
0.2951989898989899,11551.294138555693
0.3002332828282828,11506.24896094169
0.30526757575757574,11462.00323336055
0.31030186868686865,11418.517987651463
0.3153361616161616,11375.762316795375
0.32037045454545454,11333.705313773235
0.32540474747474746,11292.31607156599
0.3304390404040404,11251.56368315458
0.3354733333333333,11211.417241519963
0.34050762626262626,11171.845839643072
0.3455419191919192,11132.818570504864
0.3505762121212121,11094.304527086282
0.355610505050505,11056.272802368274
0.360644797979798,11018.692489331783
0.3656790909090909,10981.532680957758
0.3707133838383838,10944.762470227148
0.37574767676767673,10908.350950120896
0.3807819696969697,10872.267213619949
0.3858162626262626,10836.480353705254
0.39085055555555553,10800.959463357758
0.39588484848484845,10765.673635558409
0.4009191414141414,10730.591992331088
0.40595343434343434,10695.691431694746
0.41098772727272725,10660.967072734962
0.41602202020202017,10626.416640997191
0.4210563131313131,10592.037862026878
0.42609060606060606,10557.82846136947
0.431124898989899,10523.786164570418
0.4361591919191919,10489.908697175166
0.4411934848484848,10456.193784729156
0.4462277777777778,10422.639152777847
0.4512620707070707,10389.242526866681
0.4562963636363636,10356.001632541103
0.4613306565656565,10322.914195346562
0.4663649494949495,10289.977940828507
0.4713992424242424,10257.190594532389
0.47643353535353533,10224.549882003645
0.48146782828282825,10192.05352878773
0.48650212121212116,10159.69926043009
0.49153641414141414,10127.484802476174
0.49657070707070705,10095.407880471426
0.501605,10063.466256957461
0.506639292929293,10031.660165259389
0.5116735858585859,9999.993820178432
0.5167078787878788,9968.47179738125
0.5217421717171717,9937.098672534521
0.5267764646464647,9905.879021304912
0.5318107575757576,9874.817419359091
0.5368450505050505,9843.918442363729
0.5418793434343435,9813.1866659855
0.5469136363636364,9782.62666589107
0.5519479292929294,9752.243017747107
0.5569822222222223,9722.040297220281
0.5620165151515152,9692.023079977269
0.5670508080808081,9662.195941684731
0.572085101010101,9632.563458009345
0.5771193939393939,9603.130204617773
0.5821536868686868,9573.900757176692
0.5871879797979799,9544.87969135277
0.5922222727272728,9516.071582812676
0.5972565656565657,9487.481007223078
0.6022908585858586,9459.112402141553
0.6073251515151515,9430.966242359178
0.6123594444444445,9403.038546585425
0.6173937373737374,9375.325096331693
0.6224280303030303,9347.821673109393
0.6274623232323233,9320.52405842992
0.6324966161616162,9293.428033804692
0.6375309090909091,9266.5293807451
0.6425652020202021,9239.823880762558
0.647599494949495,9213.307315368465
0.6526337878787879,9186.975466074227
0.6576680808080808,9160.824114391251
0.6627023737373737,9134.849041830932
0.6677366666666666,9109.046029904686
0.6727709595959597,9083.410860123911
0.6778052525252526,9057.939314000014
0.6828395454545455,9032.627173044397
0.6878738383838384,9007.470218768465
0.6929081313131313,8982.464232683626
0.6979424242424243,8957.60499630128
0.7029767171717172,8932.888453312005
0.7080110101010101,8908.313059833174
0.7130453030303031,8883.879250867805
0.718079595959596,8859.587514980087
0.723113888888889,8835.438340734207
0.7281481818181819,8811.432216694337
0.7331824747474748,8787.569631424663
0.7382167676767677,8763.851073489366
0.7432510606060606,8740.277031452628
0.7482853535353535,8716.847993878628
0.7533196464646464,8693.564449331552
0.7583539393939395,8670.426886375577
0.7633882323232324,8647.435793574881
0.7684225252525253,8624.591659493657
0.7734568181818182,8601.894972696078
0.7784911111111111,8579.346221746324
0.783525404040404,8556.945895208582
0.788559696969697,8534.694481647033
0.7935939898989899,8512.592469625853
0.7986282828282829,8490.640347709226
0.8036625757575758,8468.838718421968
0.8086968686868687,8447.18925419761
0.8137311616161617,8425.694213281306
0.8187654545454546,8404.355859904925
0.8237997474747475,8383.176458300344
0.8288340404040404,8362.158272699422
