Unknown,Unknown
0.97,3.0674093303633274
0.97,6.86623486581526
0.97,8.388143508863237
0.97,9.254547444257456
0.97,9.51040843140122
0.9592592592592593,9.706372873403314
0.9592592592592593,9.706439637231945
0.9592592592592593,9.706506401060572
0.9592592592592593,9.706573164889202
0.9592592592592593,9.70663992871783
0.9592592592592593,9.706706692546458
0.9592592592592593,9.706773456375089
0.9592592592592593,9.706840220203716
0.9592592592592593,9.706906984032345
0.9592592592592593,9.706973747860975
0.9592592592592593,9.707040511689602
0.9592592592592593,9.707107275518233
0.9592592592592593,9.70717403934686
0.9592592592592593,9.70724080317549
0.9592592592592593,9.707307567004117
0.9592592592592593,9.707374330832746
0.9592592592592593,9.707441094661377
0.9592592592592593,9.707507858490004
0.9592592592592593,9.707574622318633
0.9592592592592593,9.70764138614726
0.9592592592592593,9.70770814997589
0.9592592592592593,9.70777491380452
0.9592592592592593,9.707841677633148
0.9592592592592593,9.707908441461777
0.9592592592592593,9.707975205290404
0.9592592592592593,9.708041969119035
0.9592592592592593,9.708108732947665
0.97,9.659077230450276
0.97,9.256552601762301
0.97,8.39028368912266
0.97,6.868510068829259
0.97,5.010424282881135
0.8333333333333334,5.010487038302292
0.8333333333333334,5.010545037767318
0.8333333333333334,5.010603037232343
