1.0,428.1010699229583
0.9,423.93926316916804
0.8,419.5122319238597
0.7,415.90343837129143
0.6,410.0594919445935
0.5,401.6096724511094
0.4,393.17314342743316
0.3,381.408871859795
0.2,368.7693999128621
0.15,360.62428221518695
0.1,348.2390765103903
0.09,343.31947132202623
0.08,338.0584167759728
0.07,331.86907196931594
0.06,323.6911159306242
0.05,310.0295498137841
0.04,292.80202405881295
0.03,263.4155866452628
0.02,216.79201891074155
0.01,135.576038688514
0.009,124.47808556027235
0.008,112.79156469482393
0.007,100.46634445906507
0.006,87.52089937954274
0.005,73.9896531733279
0.004,59.92478571874776
0.003,45.39697795806781
0.002,30.49493062275477
0.001,15.32355904369143
