1.0,1.0
1.0,478.57431795817655
0.9,475.3513004474222
0.8,469.6426318831382
0.7,462.35994869452566
0.6,452.6974934299196
0.5,442.2395952899333
0.4,430.471134918306
0.3,415.4413195887857
0.2,396.98810038977035
0.15,380.21843860071067
0.1,356.39985519290593
0.09,348.25132434829004
0.08,338.4138102691984
0.07,325.95506272459
0.06,309.8183267122603
0.05,288.4884174958931
0.04,259.59504401162224
0.03,219.78320222089184
0.02,164.89425817926283
0.01,92.63008001226655
0.009,84.59931142832767
0.008,76.51521488886868
0.007,68.40072519327028
0.006,60.315030095778454
0.005,52.3456642999789
0.004,44.79338683786482
0.003,37.423781026976904
0.002,31.145818272984133
0.001,26.54645684694122
