1.0,1.0
1.0,2310.47010179472
0.9,2366.582843527458
0.8,2432.6527046395886
0.7,2520.243113109801
0.6,2604.7506903578314
0.5,2711.1273401896133
0.4,2851.2853532031427
0.3,3052.5522320697833
0.2,3516.0167380491275
0.15,3950.730119497094
0.1,4843.30867227569
0.09,5083.526461487031
0.08,5344.917015142659
0.07,5616.7089641553675
0.06,5876.150055388517
0.05,6077.0533278871635
0.04,6119.583715155199
0.03,5815.670326452272
0.02,4852.030023264547
0.01,2891.2540663017103
0.009,2635.8462450397556
0.008,2370.8914134431375
0.007,2096.9025866379507
0.006,1814.6385817137584
0.005,1524.910298616237
0.004,1228.449781069853
0.003,926.8935978343255
0.002,620.7405640732136
0.001,311.3677983226598
