0.8,0.8
1.0,380.94549570079863
0.9,377.37959045080646
0.8,373.01571724424855
0.7,367.742595860497
0.6,360.18530939677083
0.5,351.4127574711107
0.4,342.8658058029387
0.3,332.6617342315935
0.2,319.3684569186606
0.15,308.99108585567245
0.1,289.7993348578053
0.09,283.23612525060094
0.08,275.20753006877055
0.07,264.96705501910907
0.06,251.62412179644699
0.05,233.87456795560192
0.04,209.8277950699977
0.03,176.90204089747843
0.02,132.2091422322866
0.01,74.82497320145279
0.009,68.57804068943884
0.008,62.329372150384636
0.007,56.10591175097022
0.006,49.966142443294224
0.005,43.99642429920374
0.004,38.454337731763765
0.003,33.17258124939942
0.002,28.852303483750834
0.001,25.835166737238854
