0.8,0.8
1.0,502.5787843764434
0.9,501.0099722887388
0.8,496.87060257640695
0.7,491.5791165861863
0.6,485.52255509371713
0.5,478.4955683177787
0.4,470.0642711829092
0.3,459.7523946420343
0.2,445.65912160048566
0.15,432.4961739232365
0.1,409.8435495245051
0.09,401.73130947884243
0.08,391.79019847740756
0.07,377.76178026475515
0.06,361.0604647241575
0.05,337.644974921653
0.04,306.9550926970861
0.03,264.8738699514329
0.02,203.1904664441312
0.01,115.37454682403636
0.009,105.19450120688748
0.008,94.84462009293766
0.007,84.3489855594095
0.006,73.76259859144136
0.005,63.16796230764151
0.004,52.86928638547421
0.003,42.60374360165207
0.002,33.38138455579279
0.001,26.139706854313985
