Load,Load
1.0,0.15
1.0,0.02
0.9,0.004
0.8,0.018
0.7,0.039
0.6,0.07
0.5,0.109
0.4,0.158
0.3,0.215
0.2,0.28
0.15,0.3175
0.1,0.355
0.09,0.363
0.08,0.371
0.07,0.379
0.06,0.387
0.05,0.395
0.04,0.40344444444444444
0.03,0.4118888888888889
0.02,0.42033333333333334
0.01,0.42877777777777776
0.009,0.42962222222222224
0.008,0.43046666666666666
0.007,0.4313111111111111
0.006,0.43215555555555557
0.005,0.433
0.004,0.4338444444444444
0.003,0.43468888888888885
0.002,0.4355333333333333
0.001,0.4363777777777777
